"col_sub","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80"
"53617d89fdf99b715bb0e2a8",1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1
"58bdfb5397641c0001f200d9",2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,2
"58e0d6aaf0ec8a000120b50c",1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
"596f961cfe061d00011e3e03",1,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2
"59f8868e05d1d60001f1464d",2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1
"5aac21406be3fa00013a2a51",1,2,2,2,2,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2
"5bf6d2302a901f00012e8cac",2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,1,2,2
"5c10e5c5753adc0001590f2c",2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1
"5c754928e621f900163f47d3",1,2,1,2,2,1,1,2,1,2,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1
"5c8d226f6924b6001081b4f2",2,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,2
"5c8f7f2954e77c001654db64",2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
"5cacd7d9c79ccb0001fb99cc",2,2,1,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2
"5d398380b37ab1000111fac3",2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1
"5d68c8aa40524c00189e8ac2",2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1
"5d7e6ca9e7d6cc0018914ee9",2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,2,1,2,1,2,1,2,2,1,2,1,2
"5d7f460632ee8a0018dc7502",1,2,1,2,1,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2
"5e37fef4d8843b000aeb1b8f",1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1
"5e3842b92fdfd2000fc286a4",1,1,1,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1
"5e554641ab5163543d2a5e68",1,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2
"5e56b4a64a405106502621d5",1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1
"5e5e17c97593e912e086c640",1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1
"5e66ff8266355b488818b546",1,2,1,1,1,2,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1
