subID,RemovedQuantity,blockNr
RLT_41,Money,2
RLT_41,Money,4
RLT_41,Money,6
RLT_41,Shock,1
RLT_41,Shock,3
RLT_41,Shock,5
RLT_42,Money,2
RLT_42,Money,3
RLT_42,Money,6
RLT_42,Shock,1
RLT_42,Shock,4
RLT_42,Shock,5
RLT_43,Money,1
RLT_43,Money,2
RLT_43,Money,4
RLT_43,Shock,3
RLT_43,Shock,5
RLT_43,Shock,6
RLT_44,Money,1
RLT_44,Money,4
RLT_44,Money,5
RLT_44,Shock,2
RLT_44,Shock,3
RLT_44,Shock,6
RLT_45,Money,1
RLT_45,Money,3
RLT_45,Money,4
RLT_45,Shock,2
RLT_45,Shock,5
RLT_45,Shock,6
RLT_46,Money,1
RLT_46,Money,2
RLT_46,Money,6
RLT_46,Shock,3
RLT_46,Shock,4
RLT_46,Shock,5
RLT_47,Money,2
RLT_47,Money,3
RLT_47,Money,4
RLT_47,Shock,1
RLT_47,Shock,5
RLT_47,Shock,6
RLT_48,Money,1
RLT_48,Money,2
RLT_48,Money,5
RLT_48,Shock,3
RLT_48,Shock,4
RLT_48,Shock,6
RLT_49,Money,2
RLT_49,Money,3
RLT_49,Money,6
RLT_49,Shock,1
RLT_49,Shock,4
RLT_49,Shock,5
RLT_51,Money,2
RLT_51,Money,4
RLT_51,Money,6
RLT_51,Shock,1
RLT_51,Shock,3
RLT_51,Shock,5
RLT_52,Money,3
RLT_52,Money,4
RLT_52,Money,6
RLT_52,Shock,1
RLT_52,Shock,2
RLT_52,Shock,5
RLT_53,Money,1
RLT_53,Money,4
RLT_53,Money,6
RLT_53,Shock,2
RLT_53,Shock,3
RLT_53,Shock,5
RLT_56,Money,1
RLT_56,Money,2
RLT_56,Money,3
RLT_56,Shock,4
RLT_56,Shock,5
RLT_56,Shock,6
RLT_57,Money,4
RLT_57,Money,5
RLT_57,Money,6
RLT_57,Shock,1
RLT_57,Shock,2
RLT_57,Shock,3
RLT_58,Money,3
RLT_58,Money,4
RLT_58,Money,5
RLT_58,Shock,1
RLT_58,Shock,2
RLT_58,Shock,6
RLT_59,Money,3
RLT_59,Money,5
RLT_59,Money,6
RLT_59,Shock,1
RLT_59,Shock,2
RLT_59,Shock,4
RLT_67,Money,1
RLT_67,Money,3
RLT_67,Money,6
RLT_67,Shock,2
RLT_67,Shock,4
RLT_67,Shock,5
RLT_72,Money,1
RLT_72,Money,2
RLT_72,Money,4
RLT_72,Shock,3
RLT_72,Shock,5
RLT_72,Shock,6
RLT_73,Money,4
RLT_73,Money,5
RLT_73,Money,6
RLT_73,Shock,1
RLT_73,Shock,2
RLT_73,Shock,3
RLT_79,Money,1
RLT_79,Money,5
RLT_79,Money,6
RLT_79,Shock,2
RLT_79,Shock,3
RLT_79,Shock,4
