"No_M_sub","No_S_sub","subID"
2,1,"RLT_41"
4,3,"RLT_41"
6,5,"RLT_41"
2,1,"RLT_42"
3,4,"RLT_42"
6,5,"RLT_42"
1,3,"RLT_43"
2,5,"RLT_43"
4,6,"RLT_43"
1,2,"RLT_44"
4,3,"RLT_44"
5,6,"RLT_44"
1,3,"RLT_46"
2,4,"RLT_46"
6,5,"RLT_46"
2,1,"RLT_47"
3,5,"RLT_47"
4,6,"RLT_47"
1,3,"RLT_48"
2,4,"RLT_48"
5,6,"RLT_48"
2,1,"RLT_49"
3,4,"RLT_49"
6,5,"RLT_49"
2,1,"RLT_51"
4,3,"RLT_51"
6,5,"RLT_51"
3,1,"RLT_52"
4,2,"RLT_52"
6,5,"RLT_52"
1,2,"RLT_53"
4,3,"RLT_53"
6,5,"RLT_53"
1,4,"RLT_56"
2,5,"RLT_56"
3,6,"RLT_56"
4,1,"RLT_57"
5,2,"RLT_57"
6,3,"RLT_57"
3,1,"RLT_58"
4,2,"RLT_58"
5,6,"RLT_58"
3,1,"RLT_59"
5,2,"RLT_59"
6,4,"RLT_59"
1,2,"RLT_67"
3,4,"RLT_67"
6,5,"RLT_67"
1,3,"RLT_72"
2,5,"RLT_72"
4,6,"RLT_72"
4,1,"RLT_73"
5,2,"RLT_73"
6,3,"RLT_73"
1,2,"RLT_79"
5,3,"RLT_79"
6,4,"RLT_79"
1,2,"RLT_45"
3,5,"RLT_45"
4,6,"RLT_45"
