"","df_par_A_20T_M1wf_F.AF","df_par_tau_20T_M1wf_F.AF","df_par_wf_20T_M1wf_F.AF"
"RLT_41",0.347512549776987,4.38466121064471,0.52695905244496
"RLT_42",0.100486903791234,4.66471803701046,0.00602693001331632
"RLT_43",0.0665803854453626,4.51188810342241,0.00761976522597699
"RLT_44",0.337804349297615,2.94339127684205,0.945919283959189
"RLT_45",0.164055381734805,3.46268112472655,0.790099802703242
"RLT_46",0.608807372370851,2.01435960481925,0.521732674748575
"RLT_47",0.201914350206514,4.55167320651887,0.146625513809263
"RLT_48",0.652861556913641,3.0851904195509,0.00415762170640032
"RLT_49",0.0499274496791859,4.68122901322916,0.00293214958563153
"RLT_51",0.0620614017038612,4.46727158747075,0.0319683122861309
"RLT_52",0.500315297936435,3.32970705162426,0.106523521821599
"RLT_53",0.135073001389312,4.63149224120721,0.446197446307828
"RLT_56",0.240013279881699,3.72556996326693,0.00383545022074289
"RLT_57",0.156092526972935,3.92538437875985,0.458244389366295
"RLT_58",0.117978523931844,4.51457766878172,0.994977038457784
"RLT_59",0.172749240546642,3.29774171611432,0.991467494217554
"RLT_67",0.366337982394851,4.22386320433852,0.00405167651535037
"RLT_72",0.417029277500494,2.87732366267751,0.015801141707583
"RLT_73",0.172500986973753,4.24975409638854,0.401512927779674
"RLT_79",0.111251748061885,2.21811785513239,0.306067809199716
