"subjID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"h_c10",1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2
"h_c11",1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1
"h_c12",2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2
"h_c14",1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2
"h_c15",1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1
"h_c16",1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1
"h_c17",1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2
"h_c21",1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2
"h_c22",2,1,2,2,1,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,1,2,1,1,2,1,2,2,2,1,2,1,2,1,1,2,1,2,1,2,2
"h_c23",2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,1,2
"h_c24",1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1
"h_c25",2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2
"h_c28",2,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1
"h_c29",1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2
"h_c3",1,2,2,1,1,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1
"h_c33",1,2,2,1,1,2,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,1,1,2,1,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,1,2,2,1
"h_c34",1,1,2,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1
"h_c4",1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,2
"h_c5",2,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1
"h_c8",2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2
"h_s10",2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1
"h_s18",1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2,1
"h_s24",2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,1,2
"h_s27",2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2,1,2
"h_s30",1,1,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,2,1
"h_s31",2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2
"h_s33",2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2
