"subjID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"h_c10",1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,1
"h_c11",2,1,2,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
"h_c12",1,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,1
"h_c14",2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2
"h_c15",1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1
"h_c16",2,2,1,2,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,2,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2
"h_c17",2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2
"h_c21",1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2
"h_c22",1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2
"h_c23",1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,2,2,1
"h_c24",2,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2
"h_c25",1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1
"h_c28",1,1,2,2,2,1,2,1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1,1
"h_c29",1,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,2,1,1
"h_c3",2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,2,1,2
"h_c33",2,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,1,1,2
"h_c34",2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,2,1
"h_c4",2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2
"h_c5",1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1
"h_c8",1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1
"h_s10",1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
